payCardBank,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,date,hour,day_of_week,is_weekend,trip_duration_min,trip_distance_km,avg_speed_kmh
emoney,5,Matraman Baru - Ancol,1.0,P00142,Pal Putih,-6.184631,106.84402,7,2023-04-03 05:21:44,P00253,Tegalan,-6.203101,106.85715,12.0,2023-04-03 06:00:53,3500.0,2023-04-03,5,Monday,0,39.15,2.5149012049870194,3.8542547202866198
dki,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,B01963P,Kemenkes 2,-6.2287,106.83302,13,2023-04-03 05:42:44,B03307P,Sampoerna Strategic,-6.217152,106.81892,21.0,2023-04-03 06:40:01,3500.0,2023-04-03,5,Monday,0,57.28333333333333,2.019436706771581,2.1152086541686623
dki,R1A,Pantai Maju - Kota,0.0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,2023-04-03 05:59:06,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39.0,2023-04-03 06:50:55,3500.0,2023-04-03,5,Monday,0,51.81666666666667,0.07995019533062052,0.09257661730145829
flazz,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,B05587P,Taman Elok 1,-6.195743,106.93526,23,2023-04-03 05:44:51,B03090P,Raya Penggilingan,-6.183068,106.93194,29.0,2023-04-03 06:28:16,3500.0,2023-04-03,5,Monday,0,43.416666666666664,1.4563984410914965,2.0126811469978456
flazz,12,Tanjung Priok - Pluit,0.0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,2023-04-03 06:17:35,P00098,Kali Besar Barat,-6.135355,106.81143,15.0,2023-04-03 06:57:03,3500.0,2023-04-03,6,Monday,0,39.46666666666667,8.721936064727323,13.259700098403025
dki,1T,Cibubur - Balai Kota,0.0,B00127P,Benhil 3,-6.21601,106.81632,3,2023-04-03 05:08:01,B00694P,Grand Sahid,-6.210975,106.82059,6.0,2023-04-03 05:52:25,20000.0,2023-04-03,5,Monday,0,44.4,0.7322887587219985,0.9895794036783764
dki,,,1.0,B03416P,SDN Pondok Labu 11,-6.313269,106.80221,2,2023-04-03 06:44:24,B00899P,Jln. Baros,-6.311046,106.784,12.0,2023-04-03 07:11:43,0.0,2023-04-03,6,Monday,0,27.316666666666666,2.027707142262238,4.453780178245306
dki,B14,Bekasi Barat - Kuningan,1.0,B00795P,Imperium,-6.210363,106.83059,1,2023-04-03 06:01:44,B01853P,Kayuringin 2,-6.245948,106.99247,16.0,2023-04-03 06:51:12,20000.0,2023-04-03,6,Monday,0,49.46666666666667,18.3262601966519,22.22861748920042
dki,1Q,Rempoa - Blok M,0.0,B05781P,TPU Bungur,-6.247208,106.77889,15,2023-04-03 05:57:47,B06578P,Blok M Jalur 3,-6.243426,106.80188,24.0,2023-04-03 06:51:12,3500.0,2023-04-03,5,Monday,0,53.416666666666664,2.575762048984172,2.8932116618854975
dki,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,2023-04-03 06:32:28,B02387P,Matraman 4,-6.199782,106.8545,23.0,2023-04-03 07:23:54,3500.0,2023-04-03,6,Monday,0,51.43333333333333,1.3774902317951978,1.6069231479140351
emoney,M7B,BKN - Blok M,1.0,P00254,Tendean,-6.240213,106.83102,12,2023-04-03 06:22:10,P00129,Mampang Prapatan,-6.242699,106.82572,14.0,2023-04-03 06:50:21,,2023-04-03,6,Monday,0,28.183333333333334,0.647782547913702,1.3790757968594485
dki,9A,PGC 2 - Grogol 2,1.0,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,2023-04-03 06:15:04,P00216,Semanggi,-6.22111,106.81354,6.0,2023-04-03 07:08:31,3500.0,2023-04-03,6,Monday,0,53.45,2.6051507511762035,2.924397475595364
dki,4,Pulo Gadung 2 - Tosari,1.0,P00159,Pasar Rumput,-6.207125,106.84112,2,2023-04-03 06:12:14,P00135,Matraman 2,-6.19891,106.8545,4.0,2023-04-03 07:07:35,3500.0,2023-04-03,6,Monday,0,55.35,1.7384162480838279,1.884462057543445
online,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,2023-04-03 05:38:44,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17.0,2023-04-03 06:09:17,0.0,2023-04-03,5,Monday,0,30.55,1.8554889681930922,3.6441681863039452
dki,S22,Ciputat - Kampung Rambutan,0.0,B05291P,SMK Darussalam,-6.319946,106.74598,1,2023-04-03 06:43:20,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3.0,2023-04-03 07:07:17,3500.0,2023-04-03,6,Monday,0,23.95,1.118392617011459,2.8018186647468704
brizzi,13,Ciledug - Tendean,1.0,P00096,JORR,-6.236104,106.75488,10,2023-04-03 06:49:48,P00001,Adam Malik,-6.236466,106.74786,11.0,2023-04-03 07:47:42,3500.0,2023-04-03,6,Monday,0,57.9,0.7770124791069245,0.8051942788672793
online,9E,Kebayoran Lama - Jelambar,1.0,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,2023-04-03 05:41:28,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20.0,2023-04-03 06:35:41,3500.0,2023-04-03,5,Monday,0,54.21666666666667,0.9212458506793274,1.0195158507364213
flazz,M9,Pinang Ranti - Pluit,1.0,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,2023-04-03 06:24:23,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16.0,2023-04-03 07:07:12,3500.0,2023-04-03,6,Monday,0,42.81666666666667,13.469619636319315,18.875294157551394
dki,JAK.88,Terminal Tanjung Priok - Ancol Barat,0.0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,2023-04-03 06:43:49,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36.0,2023-04-03 07:30:45,0.0,2023-04-03,6,Monday,0,46.93333333333333,1.954877489870264,2.4991331546636903
emoney,T11,Poris Plawad - Bundaran Senayan,1.0,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,2023-04-03 05:13:08,B05720P,Term. Poris Plawad,-6.172859,106.66501,24.0,2023-04-03 06:08:59,3500.0,2023-04-03,5,Monday,0,55.85,14.619927260051163,15.706278166572421
emoney,JAK.16,Cililitan - Condet,0.0,,Lippo Mall Kramat Jati,-6.270835,106.86741,4,2023-04-03 05:08:36,B01393P,Jln. Mesjid Al Mabruk,-6.28435,106.85293,20.0,2023-04-03 05:30:45,0.0,2023-04-03,5,Monday,0,22.15,2.195413407645817,5.946943767889347
flazz,6V,Ragunan - Gelora Bung Karno,0.0,P00259,Tirtayasa,-6.239207,106.80777,12,2023-04-03 06:44:28,P00133,Masjid Agung,-6.236483,106.79845,13.0,2023-04-03 07:11:25,3500.0,2023-04-03,6,Monday,0,26.95,1.0738060600966017,2.3906628425156256
emoney,11Q,Kampung Melayu - Pulo Gebang via BKT,0.0,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,2023-04-03 06:45:03,B05256P,SMAN 100,-6.228401,106.88494,21.0,2023-04-03 07:06:05,3500.0,2023-04-03,6,Monday,0,21.033333333333335,1.2530673609567895,3.5745186207959128
