timestamp,date,hour,day_of_week,is_weekday,month,road_name,district,weather,total_vehicles,motorcycles,cars,buses,trucks,avg_speed_kmh,congestion_level
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Sudirman,Menteng,Clear,312,183,97,14,18,35.5,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Thamrin,Tanah Abang,Cloudy,756,420,176,30,130,36.7,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Gatot Subroto,Senen,Light Rain,200,124,48,11,17,30.3,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Rasuna Said,Menteng,Clear,362,208,124,12,18,49.0,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. TB Simatupang,Sawah Besar,Cloudy,292,176,70,6,40,42.6,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. HR Rasuna Said,Kemayoran,Overcast,668,406,189,35,38,45.7,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Kuningan,Senen,Light Rain,430,256,91,12,71,28.3,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Pemuda,Cempaka Putih,Cloudy,301,204,67,10,20,42.6,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Benyamin Suaeb,Johar Baru,Light Rain,359,227,85,13,34,34.8,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Pangeran Jayakarta,Duren Sawit,Light Rain,421,277,129,11,4,39.5,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Mangga Besar,Kramat Jati,Cloudy,230,129,78,9,14,51.1,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Hayam Wuruk,Pasar Rebo,Cloudy,528,356,154,13,5,39.3,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Gajah Mada,Ciracas,Cloudy,340,201,98,19,22,39.9,Medium
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Suryopranoto,Setiabudi,Overcast,606,347,166,30,63,42.2,Low
2024-01-01 00:00,2024-01-01,0,Monday,1,January,Jl. Veteran,Tebet,Clear,311,203,90,11,7,38.1,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Sudirman,Menteng,Overcast,677,461,136,33,47,45.6,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Thamrin,Tanah Abang,Light Rain,610,351,122,29,108,31.2,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Gatot Subroto,Senen,Light Rain,405,256,130,16,3,31.4,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Rasuna Said,Menteng,Light Rain,344,217,69,11,47,28.3,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. TB Simatupang,Sawah Besar,Cloudy,230,152,70,6,2,37.2,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. HR Rasuna Said,Kemayoran,Overcast,445,251,121,10,63,52.6,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Kuningan,Senen,Clear,742,462,210,22,48,50.3,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Pemuda,Cempaka Putih,Overcast,647,419,192,30,6,54.3,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Benyamin Suaeb,Johar Baru,Light Rain,507,289,118,17,83,37.3,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Pangeran Jayakarta,Duren Sawit,Clear,766,430,226,22,88,39.6,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Mangga Besar,Kramat Jati,Clear,229,135,69,6,19,52.2,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Hayam Wuruk,Pasar Rebo,Heavy Rain,287,179,75,6,27,30.2,Medium
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Gajah Mada,Ciracas,Cloudy,639,435,133,29,42,42.1,Low
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Suryopranoto,Setiabudi,Light Rain,270,157,76,6,31,20.9,High
2024-01-01 01:00,2024-01-01,1,Monday,1,January,Jl. Veteran,Tebet,Clear,393,266,103,21,3,40.6,Low
2024-01-01 02:00,2024-01-01,2,Monday,1,January,Jl. Sudirman,Menteng,Light Rain,652,368,204,19,61,20.5,High
2024-01-01 02:00,2024-01-01,2,Monday,1,January,Jl. Thamrin,Tanah Abang,Clear,613,375,128,21,89,44.7,Low
2024-01-01 02:00,2024-01-01,2,Monday,1,January,Jl. Gatot Subroto,Senen,Light Rain,549,348,175,21,5,26.4,Medium
2024-01-01 02:00,2024-01-01,2,Monday,1,January,Jl. Rasuna Said,Menteng,Clear,720,485,200,29,6,38.1,Medium
